bootstrap,success,mu,sigma,a
378,True,0.03139098114918802,0.9850560988476496,0.999
379,True,0.2514972831568306,1.470175338464115,0.5254309994236208
380,True,0.33199415453249215,1.2981887512747445,0.999
381,True,0.04515906358866163,0.9469105210842155,0.9989998109389058
382,True,0.05896287933044535,0.9713112905384129,0.999
383,True,-0.010818465358013573,1.3876281389227396,0.6395871003042214
384,True,0.09308691426281816,0.9906730973083809,0.999
385,True,0.05706388437643111,0.9706905834547686,0.9973492541493344
386,True,-0.012550744674987253,1.367629881208975,0.6652310442627939
387,True,0.03366476438466096,1.2299177022834853,0.999
388,True,0.37903309580824096,1.339215003192151,0.758482462353938
389,True,0.4301301121498412,1.540704731129471,0.3591305030105378
390,True,0.05556587877394468,1.0052124587206483,0.9948706679468071
391,True,-0.01874278323294362,1.2613679835339247,0.999
392,True,0.16408979582673675,1.2496129771285445,0.999
393,True,0.10974361597271308,1.0218502456116076,0.9982561816609072
394,True,-0.12088584522467667,1.3422335842835544,0.7054165009555934
395,True,0.2910635023261929,1.4829589928235916,0.4957417464190213
396,True,0.052188540216957215,0.9677065473216216,0.9952762062912637
397,True,0.06173960720736453,1.022294689290347,0.9970785079556017
398,True,0.034376480561213694,1.0035260149023943,0.9989975339525556
399,True,0.05782639825698195,1.0367864906239603,0.9984539147639018
400,True,-0.1062992136016472,1.2140255056515101,0.999
401,True,0.04340209817077856,0.9473928530853521,0.999
402,True,0.05922575844180791,0.976637072787866,0.9750012441639687
403,True,-0.16092357407596625,1.2350106884187273,0.9674167772187171
404,True,0.24779208701679972,1.2569967468899517,0.9988094644798371
405,True,0.09808001675119245,1.0508744704519817,0.9840575849915776
406,True,0.0703648504983159,0.9758769992255145,0.9923720987340099
407,True,0.057000362232188934,1.018677745439749,0.9984000028107209
408,True,0.08185608929707693,0.9637457054896917,0.9815066726027657
409,True,0.3642286199566428,1.3897463535543435,0.7204327019602386
410,True,0.045724954086384224,0.9953299261869042,0.9878432590795617
411,True,0.04736178342736975,1.0292409069756012,0.999
412,True,-0.0401149459882819,1.2434126357199817,0.999
413,True,0.08487828014319886,0.9385365548299388,0.9988442774189886
414,True,0.03803595551633695,1.061997056047664,0.999
415,True,0.07934915636473946,0.957959688057105,0.981863715483259
416,True,0.5127887442303715,1.5153438580535268,0.5237448168383078
417,True,0.06835068080861091,0.9429252850533167,0.9697014028289771
418,True,0.040883978766399265,1.3143229295781211,0.7415663022662644
419,True,0.08517018980031535,0.9367646047202022,0.9962666677931761
420,True,0.07256105138919222,0.9740364444424967,0.999
421,True,0.15578064085413024,1.2642454907117024,0.999
422,True,0.054983728694256634,1.0160402596230202,0.999
423,True,0.09874670736737921,1.232632450006405,0.9810982738887117
424,True,-0.02369268955378574,0.97181113454459,0.999
425,True,0.04946197771858902,1.27113380169417,0.975223899979093
426,True,0.04143467313617133,1.2268249039676533,0.999
427,True,0.060748966631823435,1.620494509486253,0.211382483834003
428,True,-0.10882248541805171,1.246177652079844,0.9666154748605392
429,True,0.05952131030440767,0.961878714918461,0.9900658981547982
430,True,-0.026831130343809635,1.2825319776392043,0.8930557064885747
431,True,-0.12389397658763927,1.2442389273662726,0.999
432,True,0.07978613080882777,0.9538438660971473,0.9870878892719692
433,True,0.4251532376850866,1.4084006133356577,0.6825016829254948
434,True,-0.046246081200544145,1.3524415176447264,0.7083661006021029
435,True,0.05092201897346367,0.9927508986260918,0.9500000000000014
436,True,0.041807590753423225,0.9808070277497917,0.9989993476164938
437,True,0.13028713798287697,1.2776541887323778,0.9393619092464894
438,True,-0.1405939559364278,1.2357650890138738,0.999
439,True,-0.4799108890238341,1.3779239718526994,0.5659167125932316
440,True,0.07579846078301074,0.9565357153265165,0.9762635731185109
441,True,0.016276404019661413,1.46521840457817,0.46631769096334935
