replication,success,a_hat,m_hat,b_hat,loglik
164,True,1.1885524068531135,1.228706708767345,1.2352128300327683,-378.88726318186184
165,True,9.999999999999997e-06,1.1210147469772154,2.807948562995428,-387.1542393685352
166,True,0.5059349632319967,0.5178153630753246,2.4913913591038757,-373.7363438295349
167,True,0.6622676926201452,0.6718623292240223,2.6253246646339745,-388.6114656409469
168,True,0.003481987629504485,0.5117993043852109,2.8607076374170894,-366.5208063909378
169,True,0.8207100002526239,0.8370399209744969,1.5673188222645398,-363.6887855897426
170,True,1.4239890138849782,1.4850651537771296,1.4910916320309588,-402.6188614596696
171,True,0.3731962534254076,1.8180265730372176,1.849884453597367,-391.826007461633
172,True,0.013984162639296301,0.9000135282507323,3.2298200128183012,-393.1516335010799
173,True,0.5908079179022094,0.5975953204586129,2.5205840138060145,-380.3603173163148
174,True,1.1579327720458612,1.193237894124436,1.2403509259852932,-377.24380065697045
175,True,0.47156578371082286,0.4817016196493837,4.055688181547034,-416.826832399901
176,True,0.6971164649692726,0.7090742603448388,2.383178933127331,-383.5863988038235
177,True,0.6455850301460444,0.6627324321051437,2.1649894936253617,-372.70887122673105
178,True,0.566132267417657,0.5834476396323043,2.402184968549323,-375.24317979386933
179,True,9.999999999999997e-06,1.8471567144405594,1.8802980427500045,-381.3854238992385
180,True,9.999999999999997e-06,1.4532146798376904,3.0991853411578907,-405.68544436307
181,True,0.15149664294494508,1.6475756779983242,1.7616569733247718,-375.73330719280204
182,True,1.1851337435019627,1.2353063907346462,1.2400132657469949,-379.58746752801983
183,True,1.4405262720225738,1.4800619568866316,1.5154595768123642,-403.62421280427424
184,True,0.7824122619231844,0.8046300356931261,2.2984178177024397,-386.853885605709
185,True,1.0000000150789548e-05,2.027192782485873,2.0621169021124093,-392.9365536710017
186,True,0.9377235128921947,0.9513087628148102,2.3702267471810625,-398.3917414102537
187,True,0.08771964235516586,0.9884139953516473,2.304348032130802,-368.64305330256684
188,True,0.04560646261262145,1.6159132496243618,1.623927283215572,-365.64753117822806
189,True,1.2729523596594265,1.3370221169497154,1.3726313682191393,-390.21961475780466
190,True,0.6451557568255464,0.6556713367516763,2.333767383851431,-378.31156847634657
191,True,0.9144326923452627,0.9639370047340808,0.979994487718884,-348.7273211578912
192,True,0.5490087631489812,0.5588491938989217,3.1353649088619964,-396.7169645595419
193,True,1.2744602364677098,1.3469027393625161,1.3640711551995361,-390.28721594764556
194,True,1.0348033439555886,1.1004323903535127,1.11933358305225,-364.8314994028203
195,True,1.1548375502134194,1.1749226157388106,1.1801308769436714,-374.4283401475185
196,True,1.03302739071165,1.1269373441089052,1.159184150306225,-367.37938166033575
197,True,0.6567911036951448,0.6684240970283125,2.0215628474656664,-368.14475217341067
198,True,1.2078387989675496,1.2322181802967538,1.2558391478954005,-380.79215503049414
199,True,0.5240664933720529,0.5292547155015009,2.4405769526251864,-372.88233129065645
200,True,1.2805746257517505,1.3584299584198078,1.4288097047990893,-392.7750348551884
201,True,1.241182965622255,1.2698477574457039,1.3226169309902815,-385.3114037855295
202,True,0.8544321222871994,0.9664039935113979,1.8920613972558122,-381.33505968815194
203,True,1.1437759043966242,1.1988754981248455,1.2405960278136843,-376.72592078536513
204,True,0.4961700821948684,0.5080538170940105,2.4326367838899348,-370.82182396223374
205,True,9.999999999999997e-06,0.35756794538723524,3.374069225724398,-377.63026658044976
206,True,0.32899073345116,1.5925232664384668,1.6287401551719263,-375.5937575345889
207,True,1.006676025895583,1.0743269478722064,1.0828356552308425,-361.34112882555115
208,True,0.8678527045428701,0.8911472453901312,1.8100811232408316,-376.3891069034712
209,True,0.028178613201071376,1.7114237351838861,1.7474157406578195,-372.84848612563354
